name,address,city,state,neighborhood,phone,email,website,management_company
Residences at ATX Tower,"321 West 6th Street",Austin,TX,Downtown,512-580-0321,,https://atxtower-residences.com/,RPM Living
415 Colorado,"415 Colorado Street",Austin,TX,Downtown,512-580-0415,,https://www.415colorado.com/,RPM Living
Lookout Austin,"1910 Wickersham Lane",Austin,TX,East Austin,512-730-1910,,https://rpmliving.com/,RPM Living
The Standard Dallas,"1801 N Lamar Street",Dallas,TX,Victory Park,214-741-1801,,https://www.zrsapartments.com/,ZRS Management
Elle of Buckhead,"3250 Piedmont Road NE",Atlanta,GA,Buckhead,404-869-3250,,https://www.zrsapartments.com/,ZRS Management
Miro Apartments,"2619 McKinney Ave",Dallas,TX,Uptown,,,https://www.greystar.com/miro-apartments-dallas-tx/p_15402,Greystar
Seville Uptown,"4144 Bowser Ave",Dallas,TX,Oak Lawn,,,https://www.greystar.com/seville-uptown-dallas-tx/p_19293,Greystar
The Sevens,"7777 Forest Ln",Dallas,TX,Preston Hollow,,,https://www.willowbridgepc.com/properties/the-sevens-dallas-texas,Willow Bridge
8119,"8119 Southwestern Blvd",Dallas,TX,Uptown,,,https://www.willowbridgepc.com/properties/8119-dallas-texas,Willow Bridge
Moda Luxury Apartments,"2520 N Houston St",Dallas,TX,Victory Park,,,https://www.willowbridgepc.com/properties/moda-luxury-apartments-dallas-tx,Willow Bridge
The Pavilions,"16000 Midway Rd",Dallas,TX,North Dallas,,,https://www.willowbridgepc.com/properties/the-pavilions-dallas-tx,Willow Bridge
Brady,"3100 Cole Ave",Dallas,TX,Uptown,,,https://www.willowbridgepc.com/properties/brady-dallas-tx,Willow Bridge
Leksa at CityPlace,"3030 Cityplace West Blvd",Dallas,TX,Uptown,,,https://www.willowbridgepc.com/,Willow Bridge
The Park at Katy Trail,"4525 Cole Ave",Dallas,TX,Knox Henderson,,,https://www.willowbridgepc.com/,Willow Bridge
Cortland North Dallas,"17811 Vail St",Dallas,TX,North Dallas,,,https://cortland.com/apartments/cortland-north-dallas/,Cortland
Cortland M-Line,"3200 McKinney Ave",Dallas,TX,Uptown,,,https://cortland.com/apartments/cortland-m-line/,Cortland
Cortland on McKinney,"1900 McKinney Ave",Dallas,TX,Uptown,,,https://cortland.com/apartments/cortland-on-mckinney/,Cortland
Cortland at West Village,"2901 Cityplace West Blvd",Dallas,TX,Uptown,,,https://cortland.com/apartments/cortland-at-west-village/,Cortland
Spanish Village,"3232 Sumter Dr",Dallas,TX,Oak Cliff,,,https://www.apartments.com/,Cross Equities
Cirque Residences,"2520 Victory Park Ln",Dallas,TX,Victory Park,,,https://www.cirqueresidences.com/,Madera Residential
Gallery at Turtle Creek,"4144 N Hall St",Dallas,TX,Oak Lawn,,,https://www.greystar.com/gallery-at-turtle-creek-apartments-dallas-tx/p_14950,Greystar
The Georgian,"17930 Marsh Ln",Dallas,TX,North Dallas,,,https://www.greystar.com/the-georgian-apartments-dallas-tx/p_10747,Greystar
4110 Fairmount,"4110 Fairmount St",Dallas,TX,Oak Lawn,,,https://www.greystar.com/,Greystar
Alara Uptown,"3333 Allen St",Dallas,TX,Uptown,,,https://www.greystar.com/,Greystar
555 Ross,"555 Ross Ave",Dallas,TX,Downtown,,,https://www.greystar.com/,Greystar
Oak and Ellum,"2202 N Good Latimer Expy",Dallas,TX,Deep Ellum,,,https://www.greystar.com/,Greystar
The Laurel Preston Hollow,"8450 Southwestern Blvd",Dallas,TX,Preston Hollow,,,https://www.greystar.com/,Greystar
Renaissance at Preston Hollow,"6116 Luther Ln",Dallas,TX,Preston Hollow,,,https://www.greystar.com/,Greystar
Novel Turtle Creek,"4001 Turtle Creek Blvd",Dallas,TX,Turtle Creek,,,https://www.greystar.com/,Greystar
Ascent Victory Park,"2311 N Houston St",Dallas,TX,Victory Park,,,https://www.greystar.com/,Greystar
Manchester State Thomas,"3030 State St",Dallas,TX,State Thomas,,,https://www.greystar.com/,Greystar
Riviera at West Village,"3939 McKinney Ave",Dallas,TX,Uptown,,,https://www.greystar.com/,Greystar
Eastbridge Apartments,"5140 Willis Ave",Dallas,TX,Greenville Ave,,,https://www.willowbridgepc.com/properties/eastbridge-apartments-dallas-tx,Willow Bridge
The Lofts at Mockingbird Station,"5331 E Mockingbird Ln",Dallas,TX,Mockingbird Station,,,https://www.willowbridgepc.com/properties/the-lofts-at-mockingbird-station-dallas-tx,Willow Bridge
CMPND Miami,"55 NE 2nd St",Miami,FL,Downtown,786-952-7755,,https://cmpndmiamiapts.com/,TRG Management
UNI Miami,"1756 N Bayshore Dr",Miami,FL,Arts District,,,https://www.liveatuni.com/,
Remi on the River,"444 NW North River Dr",Miami,FL,River District,,,https://www.remiontheriver.com/,
NoMad Residences,"2700 NW 2nd Ave",Miami,FL,Wynwood,,,https://www.nomadresidencesmiami.com/,
Natiivo Miami,"601 NE 1st Ave",Miami,FL,Downtown,,,https://www.natiivomiami.com/,
111 Varick,"111 Varick St",New York,NY,Hudson Square,,,https://111varick.com/,
Silver Towers,"600 W 42nd St",New York,NY,Hell's Kitchen,,,https://silvertowers.com/,
The Gabriella,"4255 Cedar Springs Rd",Dallas,TX,Oak Lawn,,,https://thegabrielladallas.com/,
The Alton Oak Lawn,"3017 Douglas Ave",Dallas,TX,Oak Lawn,,,https://www.thealtonoaklawn.com/,
ARQ,"5500 Adams Blvd",Los Angeles,CA,West Adams,,,https://arqatcumulus.com/,
The Landmark Los Angeles,"11111 Santa Monica Blvd",Los Angeles,CA,West Los Angeles,,,https://thelandmarklosangeles.com/,
LINEA,"11711 W Pico Blvd",Los Angeles,CA,West Los Angeles,,,https://www.lineala.com/,
Modera Parkside,"1075 Piedmont Ave NE",Atlanta,GA,Midtown,,,https://www.moderaliving.com/,Mill Creek Residential
1081 Juniper,"1081 Juniper St NE",Atlanta,GA,Midtown,,,https://www.1081juniper.com/,
Loria Ansley,"1441 Peachtree St NE",Atlanta,GA,Midtown,,,https://www.loriaansley.com/,
1655 Peachtree,"1655 Peachtree St NE",Atlanta,GA,Midtown,,,https://www.1655peachtree.com/,
The Modern Austin,"70 Rainey St",Austin,TX,Rainey Street,,,https://www.themodernaustin.com/,
Residences at 6G,"600 Guadalupe St",Austin,TX,Downtown,,,https://www.6gaustin.com/,
Paseo Austin,"80 Rainey St",Austin,TX,Rainey Street,,,https://www.paseoaustin.com/,
Vesper Austin,"78 Rainey St",Austin,TX,Rainey Street,,,https://www.vesperaustin.com/,
805 Lea,"805 Lea Ave",Nashville,TN,Downtown,,,https://www.805lea.com/,
Prima at Paseo South Gulch,"500 11th Ave S",Nashville,TN,The Gulch,,,https://www.primasouthgulch.com/,
Infinity Lofts,"410 11th Ave S",Nashville,TN,The Gulch,,,https://infinitylofts.com/,
Eleven North,"1115 Church St",Nashville,TN,Downtown,,,https://elevennorth.com/,
One Williamsburg Wharf,"1 Williamsburg Way",Brooklyn,NY,Williamsburg,,,https://www.onewilliamsburgwharf.com/,Naftali Group
One Domino Square,"1 Domino Square",Brooklyn,NY,Williamsburg,,,https://www.onedominosquare.com/,Two Trees
The Brooklyn Tower,"9 DeKalb Ave",Brooklyn,NY,Downtown Brooklyn,,,https://www.thebrooklyntower.com/,
The Henry,"4131 Laguna St",Coral Gables,FL,Coral Gables,786-882-4667,,https://thehenrycoralgables.com/,
Bella Isla,"31 Venetian Way",Miami Beach,FL,Venetian Islands,305-531-7134,,https://www.bellaisla.com/,
Forma Miami,"2900 Biscayne Blvd",Miami,FL,Edgewater,786-982-0740,,https://www.rentformamiami.com/,Crescent Heights
Brickell Flatiron,"1001 Brickell Bay Dr",Miami,FL,Brickell,305-728-2800,,https://www.brickellflatiron.com/,CMC Group
Jade Brickell,"1331 Brickell Bay Dr",Miami,FL,Brickell,305-728-2300,,https://www.jadebrickell.com/,
Santa Maria,"1643 Brickell Ave",Miami,FL,Brickell,305-858-1100,,https://www.santamariabrickell.com/,
1010 Brickell,"1010 Brickell Ave",Miami,FL,Brickell,305-423-1010,,https://www.1010brickell.com/,
The Bond on Brickell,"1080 Brickell Ave",Miami,FL,Brickell,305-728-1080,,https://www.thebondonbrickell.com/,
Solaris at Brickell,"186 SE 12th Terrace",Miami,FL,Brickell,305-400-4700,,https://www.solarisatbrickell.com/,
The Plaza on Brickell,"950 Brickell Bay Dr",Miami,FL,Brickell,786-800-4440,,https://www.theplazaonbrickell.com/,Related Group
Four Seasons Brickell,"1425 Brickell Ave",Miami,FL,Brickell,305-358-3535,,https://www.fourseasons.com/miami/,Four Seasons
Lofty Brickell,"99 SW 7th St",Miami,FL,Brickell,,,https://www.loftybrickell.com/,Newgard Development
Berkshire Coral Gables,"301 Altara Ave",Coral Gables,FL,Coral Gables,786-735-2180,,https://berkshirecoralgables.com/,
800 Capri,"800 Capri St",Coral Gables,FL,Coral Gables,305-456-5800,,https://800capri.com/,
Cascade Link at Douglas,"3201 Shipping Ave",Miami,FL,Coconut Grove,786-802-4700,,https://cascadeatlink.com/,
The Residences at THesis,"1350 S Dixie Hwy",Coral Gables,FL,Coral Gables,305-779-6000,,https://thesisresidencesmiami.com/,
Gables Columbus Center,"2820 SW 37th Ave",Coral Gables,FL,Coral Gables,786-220-4300,,https://www.gables.com/,Gables Residential
